Date,Close_^GSPC,High_^GSPC,Low_^GSPC,Open_^GSPC,Volume_^GSPC
2015-01-01,2025.9000244140625,2072.360107421875,1992.43994140625,2058.89990234375,14773410000
2015-01-08,2011.27001953125,2064.429931640625,1988.43994140625,2030.6099853515625,19240590000
2015-01-15,2032.1199951171875,2038.2900390625,1988.1199951171875,2013.75,16007540000
2015-01-22,2002.1600341796875,2064.6201171875,2001.489990234375,2034.300048828125,18612710000
2015-01-29,2041.510009765625,2054.739990234375,1980.9000244140625,2002.449951171875,21461940000
2015-02-05,2068.530029296875,2073.47998046875,2041.8800048828125,2043.449951171875,18871210000
2015-02-12,2099.679931640625,2101.300048828125,2069.97998046875,2069.97998046875,14047570000
2015-02-19,2113.860107421875,2119.590087890625,2085.43994140625,2099.25,16134560000
2015-02-26,2098.530029296875,2117.52001953125,2094.489990234375,2113.909912109375,17048970000
2015-03-05,2040.239990234375,2104.25,2039.68994140625,2098.5400390625,17381160000
2015-03-12,2099.5,2106.85009765625,2041.0999755859375,2041.0999755859375,17550070000
2015-03-19,2061.050048828125,2114.860107421875,2061.050048828125,2098.68994140625,18838260000
2015-03-26,2059.68994140625,2088.969970703125,2045.5,2059.93994140625,16356730000
2015-04-02,2081.89990234375,2089.81005859375,2056.52001953125,2060.030029296875,12729770000
2015-04-09,2106.6298828125,2111.909912109375,2074.2900390625,2081.2900390625,16552010000
2015-04-16,2107.9599609375,2111.300048828125,2072.3701171875,2105.9599609375,16653770000
2015-04-23,2106.85009765625,2125.919921875,2094.889892578125,2107.2099609375,18072440000
2015-04-30,2080.14990234375,2120.949951171875,2067.929931640625,2105.52001953125,18566810000
2015-05-07,2098.47998046875,2117.68994140625,2074.989990234375,2079.9599609375,16582530000
2015-05-14,2125.85009765625,2134.719970703125,2100.429931640625,2100.429931640625,15527920000
2015-05-21,2123.47998046875,2134.280029296875,2099.179931640625,2125.550048828125,12112410000
2015-05-28,2114.070068359375,2122.27001953125,2099.139892578125,2122.27001953125,16068780000
2015-06-04,2105.199951171875,2112.889892578125,2072.139892578125,2112.35009765625,15809790000
2015-06-11,2100.43994140625,2115.02001953125,2072.489990234375,2106.239990234375,15051710000
2015-06-18,2108.580078125,2129.8701171875,2101.580078125,2101.580078125,17193860000
2015-06-25,2077.419921875,2116.0400390625,2056.320068359375,2109.9599609375,19724840000
2015-07-02,2046.6800537109375,2085.06005859375,2044.02001953125,2078.030029296875,14550340000
2015-07-09,2107.39990234375,2114.139892578125,2049.72998046875,2049.72998046875,15872540000
2015-07-16,2114.14990234375,2132.820068359375,2110.0,2110.550048828125,16873460000
2015-07-23,2108.570068359375,2116.8701171875,2063.52001953125,2114.159912109375,19636240000
2015-07-30,2099.840087890625,2114.239990234375,2087.31005859375,2106.780029296875,18252910000
2015-08-06,2086.050048828125,2105.35009765625,2052.090087890625,2100.75,19341360000
2015-08-13,2079.610107421875,2103.469970703125,2070.530029296875,2086.18994140625,15347490000
2015-08-20,1940.510009765625,2076.610107421875,1867.010009765625,2076.610107421875,26075210000
2015-08-27,1948.8599853515625,1993.47998046875,1903.0699462890625,1942.77001953125,20985040000
2015-09-03,1942.0400390625,1988.6300048828125,1911.2099609375,1950.7900390625,13888560000
2015-09-10,1995.31005859375,1997.260009765625,1937.18994140625,1941.5899658203125,16715650000
2015-09-17,1938.760009765625,2020.8599853515625,1929.219970703125,1995.3299560546875,20473170000
2015-09-24,1920.030029296875,1952.8900146484375,1871.9100341796875,1934.81005859375,20797520000
2015-10-01,1995.8299560546875,1999.31005859375,1893.699951171875,1919.6500244140625,21565530000
2015-10-08,1994.239990234375,2022.3399658203125,1987.530029296875,1994.010009765625,17585800000
2015-10-15,2018.93994140625,2039.1199951171875,1996.469970703125,1996.469970703125,17588330000
2015-10-22,2090.35009765625,2090.35009765625,2021.8800048828125,2021.8800048828125,20840100000
2015-10-29,2102.31005859375,2116.47998046875,2079.340087890625,2088.35009765625,20376090000
2015-11-05,2075.0,2108.780029296875,2068.239990234375,2101.679931640625,19817110000
2015-11-12,2083.580078125,2085.31005859375,2019.3900146484375,2072.2900390625,20390100000
2015-11-19,2088.8701171875,2097.06005859375,2070.2900390625,2083.699951171875,17883560000
2015-11-26,2079.510009765625,2104.27001953125,2077.110107421875,2088.820068359375,13404630000
2015-12-03,2047.6199951171875,2093.840087890625,2036.530029296875,2080.7099609375,21124040000
2015-12-10,2073.070068359375,2076.719970703125,1993.260009765625,2047.9300537109375,21617640000
2015-12-17,2064.2900390625,2076.3701171875,2005.3299560546875,2073.760009765625,21775690000
2015-12-24,2063.360107421875,2081.56005859375,2044.199951171875,2063.52001953125,8813800000
2015-12-31,1990.260009765625,2062.5400390625,1979.050048828125,2060.590087890625,15003490000
2016-01-07,1890.280029296875,1985.3199462890625,1886.4100341796875,1985.3199462890625,24323110000
2016-01-14,1859.3299560546875,1934.469970703125,1812.2900390625,1891.6800537109375,22053990000
2016-01-21,1882.949951171875,1916.989990234375,1848.97998046875,1861.4599609375,23493930000
2016-01-28,1912.530029296875,1947.199951171875,1872.22998046875,1885.219970703125,24149250000
2016-02-04,1851.8599853515625,1927.3499755859375,1828.4599609375,1911.6700439453125,25414110000
2016-02-11,1926.8199462890625,1930.6800537109375,1810.0999755859375,1847.0,19779930000
2016-02-18,1929.800048828125,1946.699951171875,1891.0,1927.5699462890625,20841950000
2016-02-25,1986.449951171875,1986.510009765625,1925.4100341796875,1931.8699951171875,22541260000
2016-03-03,1989.260009765625,2009.1300048828125,1977.3699951171875,1985.5999755859375,24779580000
2016-03-10,2027.219970703125,2032.02001953125,1969.25,1990.969970703125,19560560000
2016-03-17,2036.7099609375,2056.60009765625,2022.1600341796875,2026.9000244140625,21468190000
2016-03-24,2063.949951171875,2072.2099609375,2022.489990234375,2032.47998046875,13629450000
2016-03-31,2066.659912109375,2075.070068359375,2042.56005859375,2063.77001953125,18856700000
2016-04-07,2082.419921875,2083.179931640625,2033.800048828125,2063.010009765625,19160190000
2016-04-14,2102.39990234375,2111.050048828125,2073.64990234375,2082.889892578125,18865910000
2016-04-21,2095.14990234375,2103.780029296875,2077.52001953125,2102.090087890625,18942910000
2016-04-28,2051.1201171875,2099.300048828125,2045.550048828125,2090.929931640625,21087620000
2016-05-05,2064.4599609375,2084.8701171875,2039.449951171875,2052.949951171875,19015680000
2016-05-12,2047.6300048828125,2073.989990234375,2034.489990234375,2067.169921875,19073910000
2016-05-19,2090.5400390625,2094.72998046875,2025.9100341796875,2044.2099609375,17896400000
2016-05-26,2099.330078125,2103.47998046875,2085.10009765625,2091.43994140625,14349720000
2016-06-02,2119.1201171875,2120.550048828125,2085.360107421875,2097.7099609375,17799310000
2016-06-09,2071.5,2117.639892578125,2064.10009765625,2115.64990234375,17501850000
2016-06-16,2085.449951171875,2100.659912109375,2050.3701171875,2066.360107421875,18449390000
2016-06-23,2070.77001953125,2113.320068359375,1991.6800537109375,2092.800048828125,24954160000
2016-06-30,2099.72998046875,2108.7099609375,2070.0,2073.169921875,15649470000
2016-07-07,2152.429931640625,2156.449951171875,2089.389892578125,2100.419921875,18065530000
2016-07-14,2173.02001953125,2175.6298828125,2155.7900390625,2157.8798828125,15777720000
2016-07-21,2166.580078125,2175.110107421875,2159.070068359375,2172.909912109375,16957270000
2016-07-28,2163.7900390625,2178.2900390625,2147.580078125,2166.050048828125,18844350000
2016-08-04,2175.489990234375,2187.659912109375,2159.070068359375,2163.510009765625,17289070000
2016-08-11,2182.219970703125,2193.81005859375,2168.5,2177.969970703125,16087660000
2016-08-18,2175.43994140625,2193.419921875,2171.25,2181.89990234375,15352690000
2016-08-25,2170.949951171875,2187.93994140625,2160.389892578125,2173.2900390625,15739620000
2016-09-01,2186.159912109375,2187.8701171875,2157.090087890625,2171.330078125,13250310000
2016-09-08,2125.77001953125,2184.93994140625,2119.1201171875,2182.760009765625,19778050000
2016-09-15,2163.1201171875,2165.110107421875,2122.360107421875,2125.360107421875,18332730000
2016-09-22,2171.3701171875,2179.989990234375,2141.550048828125,2170.93994140625,17288110000
2016-09-29,2159.72998046875,2175.300048828125,2144.010009765625,2168.89990234375,19088080000
2016-10-06,2139.179931640625,2169.60009765625,2128.840087890625,2158.219970703125,16251350000
